City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Enid,US,66.2,overcast clouds,36.4,-97.88,Ramada by Wyndham Enid
6,Pringsewu,ID,74.41,overcast clouds,-5.36,104.97,Urban Style by Front One
8,Riosucio,CO,69.8,fog,5.42,-75.7,Finca Cafe La Ermita
12,Hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
13,Mar Del Plata,AR,66.2,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
15,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
22,Constitucion,CL,66.04,scattered clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
33,Rikitea,PF,73.63,light rain,-23.12,-134.97,Pension Maro'i
35,Avarua,CK,71.6,light rain,-21.21,-159.78,Paradise Inn
40,Vaini,TO,69.8,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Charters Towers,AU,67.91,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
45,Luau,AO,68.65,light rain,-10.71,22.22,Kimbo Hotel
58,Innisfail,AU,73.42,light rain,-17.53,146.03,Moondarra Motel
66,Cine,TR,73.4,clear sky,37.61,28.06,Otel Alabanda
70,Victoria,HK,73.99,overcast clouds,22.29,114.16,Mini Hotel Central
72,Codrington,AU,69.69,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
75,Pakxan,LA,67.62,clear sky,18.38,103.66,Kong Kham Pheng Guesthouse
79,Tezu,IN,68.9,clear sky,27.92,96.17,Circuit House
85,San Vicente De Canete,PE,68.38,overcast clouds,-13.08,-76.38,Hotel Konford
94,Pisco,PE,66.0,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
99,Gohana,IN,69.31,clear sky,29.13,76.7,Odada Shobhnath P.G Hostel
102,Carnarvon,AU,68.0,overcast clouds,-24.87,113.63,Hospitality Carnarvon
114,Ribeira Grande,PT,68.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
136,Tuy Hoa,VN,74.79,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
137,Puerto Ayora,EC,71.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
140,Mankera,PK,70.63,overcast clouds,31.39,71.44,Malik Jahanzaib house
143,Janakpur,NP,70.81,clear sky,26.72,85.91,Hotel Sita Palace
146,Hirara,JP,72.88,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
168,Isangel,VU,74.34,broken clouds,-19.55,169.27,Volcano Sea View Tree House
176,Bulolo,PG,70.3,light rain,-7.2,146.65,Pine Lodge Bulolo
179,Mayo,US,66.99,clear sky,38.89,-76.51,Resorts Resource Group International
182,Huarmey,PE,68.56,overcast clouds,-10.07,-78.15,Hotel Miramar
183,Guasave,MX,73.99,clear sky,25.57,-108.45,El Sembrador Hotel
184,Iquique,CL,66.2,broken clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
185,Abu Kamal,SY,74.5,light rain,34.45,40.92,محطة التلفاز
199,Dawei,MM,74.98,clear sky,14.08,98.2,Hotel Dawei
208,Moree,AU,69.8,few clouds,-29.47,149.85,Molika Springs Motel
216,Tautira,PF,73.4,moderate rain,-17.73,-149.15,Pension Oaoa
224,Cidreira,BR,68.14,light rain,-30.18,-50.21,Hotel Castelo
228,Mount Gambier,AU,66.2,clear sky,-37.83,140.77,Commodore on the Park
231,Ambo,PE,73.4,haze,-10.13,-76.2,La Loma Resort
232,Vredendal,ZA,67.89,clear sky,-31.67,18.5,Tharrakamma Guest House
238,Vao,NC,70.79,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
244,Vidalia,US,73.4,overcast clouds,32.22,-82.41,Quality Inn & Suites
245,Poum,NC,74.1,light rain,-20.23,164.02,Gîte kajeon
246,Pyinmana,MM,71.69,clear sky,19.73,96.22,Red Horse Dairy Industries Limited.
247,Dickinson,US,75.0,overcast clouds,29.46,-95.05,Candlewood Suites League City
250,Baghdad,IQ,69.8,light rain,33.34,44.4,Baghdad Hotel
254,Ponta Do Sol,PT,68.0,scattered clouds,32.67,-17.1,Hotel do Campo
260,Port Lincoln,AU,72.81,clear sky,-34.73,135.87,Port Lincoln Hotel
265,Beasain,ES,70.0,clear sky,43.05,-2.2,Castillo Hotel eta Jatetxea
271,Abilene,US,68.0,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
276,Korcula,HR,69.8,clear sky,42.96,17.14,Hotel Marko Polo
278,Tuscaloosa,US,72.0,overcast clouds,33.21,-87.57,Hampton Inn Tuscaloosa-University
280,Sitges,ES,69.01,overcast clouds,41.24,1.81,URH Sitges Playa
284,Kahului,US,73.0,clear sky,20.89,-156.47,Maui Seaside Hotel
311,Kulachi,PK,68.99,broken clouds,31.93,70.46,SHAH JAHAN MAHSUD
326,Robertson,US,70.0,overcast clouds,36.52,-86.87,Hampton Inn Springfield
328,Chuy,UY,69.15,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
332,Timizart,DZ,69.96,overcast clouds,36.8,4.27,yefssah restaurant
334,Murray Bridge,AU,73.0,clear sky,-35.12,139.27,Balcony On Sixth Lodge
335,Harlingen,US,75.0,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
337,Antalaha,MG,74.93,light rain,-14.9,50.28,Hotel Vitasoa
349,Marsa Matruh,EG,68.0,broken clouds,31.35,27.25,Beau Site
