City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Enid,US,36.4,-97.88,66.2,100,90,19.46,overcast clouds
1,Bambous Virieux,MU,-20.34,57.76,75.2,69,40,11.41,scattered clouds
2,Fort Nelson,CA,58.81,-122.7,15.8,85,90,2.24,overcast clouds
3,New Norfolk,AU,-42.78,147.06,55.99,63,99,1.01,overcast clouds
4,Chokurdakh,RU,70.63,147.92,-14.35,90,92,2.89,overcast clouds
5,Mataura,NZ,-46.19,168.86,37.98,95,2,2.06,clear sky
6,Pringsewu,ID,-5.36,104.97,74.41,91,100,3.33,overcast clouds
7,San Cristobal,VE,7.77,-72.22,82.4,78,40,2.24,fog
8,Riosucio,CO,5.42,-75.7,69.8,88,75,2.24,fog
9,Khatanga,RU,71.97,102.5,20.21,97,100,17.13,light snow
10,Furth Im Wald,DE,49.31,12.84,43.0,94,0,2.21,clear sky
11,Leningradskiy,RU,69.38,178.42,17.67,93,99,6.35,overcast clouds
12,Hilo,US,19.73,-155.09,71.6,60,75,6.93,broken clouds
13,Mar Del Plata,AR,-38.0,-57.56,66.2,82,75,11.41,broken clouds
14,Atuona,PF,-9.8,-139.03,76.8,74,6,11.01,light rain
15,Bredasdorp,ZA,-34.53,20.04,66.2,42,0,14.99,clear sky
16,Garden City,US,42.33,-83.33,64.0,71,75,4.7,broken clouds
17,Bethel,US,41.37,-73.41,60.01,81,1,3.04,clear sky
18,College,US,64.86,-147.8,28.99,86,90,10.29,light snow
19,Balkanabat,TM,39.51,54.37,56.41,48,0,3.15,clear sky
20,Lebu,CL,-37.62,-73.65,57.22,76,10,17.81,clear sky
21,Aklavik,CA,68.22,-135.01,-2.2,84,75,12.75,broken clouds
22,Constitucion,CL,-35.33,-72.42,66.04,49,48,13.33,scattered clouds
23,Kupang,ID,-10.17,123.58,82.26,76,100,9.8,overcast clouds
24,Esperance,AU,-33.87,121.9,57.2,100,75,23.04,broken clouds
25,Port Hardy,CA,50.7,-127.42,42.8,74,90,5.82,light rain
26,Flinders,AU,-34.58,150.86,59.0,73,15,5.48,few clouds
27,Saint-Leu,RE,-21.15,55.28,77.0,69,40,16.11,scattered clouds
28,San Patricio,US,28.02,-97.52,75.99,100,20,3.36,fog
29,Saint-Augustin,CA,51.23,-58.65,33.69,78,100,9.35,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,46.4,39,0,5.82,clear sky
31,Kuryk,KZ,43.2,51.65,54.68,77,0,9.19,clear sky
32,Cape Town,ZA,-33.93,18.42,64.0,48,20,17.22,few clouds
33,Rikitea,PF,-23.12,-134.97,73.63,76,43,17.13,light rain
34,Stevenage,GB,51.9,-0.2,60.01,93,20,6.93,few clouds
35,Avarua,CK,-21.21,-159.78,71.6,94,99,11.97,light rain
36,Tuatapere,NZ,-46.13,167.68,41.49,91,4,3.31,clear sky
37,Guayaramerin,BO,-10.84,-65.36,84.2,66,40,8.05,scattered clouds
38,Kapaa,US,22.08,-159.32,75.2,94,75,18.34,broken clouds
39,Nabire,ID,-3.37,135.48,76.86,86,100,3.53,light rain
40,Vaini,TO,-21.2,-175.2,69.8,94,20,3.36,few clouds
41,Hobart,AU,-42.88,147.33,59.0,62,100,9.17,overcast clouds
42,Busselton,AU,-33.65,115.33,54.0,69,48,18.63,scattered clouds
43,Charters Towers,AU,-20.1,146.27,67.91,76,24,15.9,few clouds
44,Ciudad Bolivar,VE,8.12,-63.55,84.06,70,91,7.85,light rain
45,Luau,AO,-10.71,22.22,68.65,76,71,13.11,light rain
46,Butaritari,KI,3.07,172.79,81.27,74,2,11.34,clear sky
47,Coihaique,CL,-45.58,-72.07,64.4,42,0,5.82,clear sky
48,Punta Arenas,CL,-53.15,-70.92,39.2,93,90,10.29,light rain
49,Albany,US,42.6,-73.97,62.01,100,1,1.16,fog
50,Jian,CN,27.12,114.98,56.19,50,0,5.41,light rain
51,Saint-Joseph,RE,-21.37,55.62,77.0,69,40,16.11,scattered clouds
52,Barrow,US,71.29,-156.79,14.0,72,75,18.34,broken clouds
53,Yellowknife,CA,62.46,-114.35,28.4,86,75,9.17,broken clouds
54,Biak,ID,-0.91,122.88,77.2,74,95,1.74,overcast clouds
55,Upata,VE,8.01,-62.4,84.0,75,77,4.0,broken clouds
56,Saint-Pierre,RE,-21.34,55.48,77.0,69,40,16.11,scattered clouds
57,Castro,BR,-24.79,-50.01,81.23,38,41,7.4,light rain
58,Innisfail,AU,-17.53,146.03,73.42,86,84,6.31,light rain
59,Rafai,CF,4.95,23.92,82.65,62,33,2.13,light rain
60,Kodiak,US,57.79,-152.41,38.66,72,0,19.6,clear sky
61,Brae,GB,60.4,-1.35,51.8,93,75,11.41,fog
62,Bathsheba,BB,13.22,-59.52,86.0,79,75,12.75,broken clouds
63,Guerrero Negro,MX,27.98,-114.06,64.35,61,65,11.14,light rain
64,Cuitzeo,MX,20.33,-102.78,48.2,87,5,4.25,clear sky
65,Nivala,FI,63.92,24.97,36.0,81,0,5.01,clear sky
66,Cine,TR,37.61,28.06,73.4,31,0,4.7,clear sky
67,Palaia Fokaia,GR,37.72,23.95,64.99,68,40,14.99,scattered clouds
68,Najran,SA,17.49,44.13,84.2,20,0,9.17,clear sky
69,Kaeo,NZ,-35.1,173.78,53.01,95,100,2.73,overcast clouds
70,Victoria,HK,22.29,114.16,73.99,72,100,1.99,overcast clouds
71,Bonavista,CA,48.65,-53.11,36.0,69,94,5.82,overcast clouds
72,Codrington,AU,-38.27,141.97,69.69,43,48,14.72,scattered clouds
73,Chabahar,IR,25.29,60.64,80.6,83,0,11.41,mist
74,Torbay,CA,47.67,-52.73,39.99,72,88,4.0,overcast clouds
75,Pakxan,LA,18.38,103.66,67.62,61,2,4.94,clear sky
76,Airai,TL,-8.93,125.41,62.35,89,100,2.53,overcast clouds
77,Inhambane,MZ,-23.86,35.38,86.0,62,20,11.41,few clouds
78,Mujiayingzi,CN,42.12,118.78,34.36,80,0,4.41,clear sky
79,Tezu,IN,27.92,96.17,68.9,47,0,4.16,clear sky
80,Nikolskoye,RU,59.7,30.79,42.8,75,75,13.42,broken clouds
81,East London,ZA,-33.02,27.91,59.0,87,20,19.46,light rain
82,Celestun,MX,20.87,-90.4,79.3,80,38,13.13,light rain
83,Broome,US,42.25,-75.83,61.0,62,1,2.8,clear sky
84,Kharp,RU,66.8,65.81,14.02,94,93,3.02,overcast clouds
85,San Vicente De Canete,PE,-13.08,-76.38,68.38,62,92,6.93,overcast clouds
86,Buin,CL,-33.73,-70.75,82.0,49,0,2.24,clear sky
87,Hermanus,ZA,-34.42,19.23,64.0,52,1,5.01,clear sky
88,Cherskiy,RU,68.75,161.3,2.97,94,100,4.72,light snow
89,Vila Velha,BR,-20.33,-40.29,86.0,62,75,12.75,broken clouds
90,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,78,90,4.92,light rain
91,Saint-Philippe,RE,-21.36,55.77,77.0,69,40,16.11,scattered clouds
92,Zhigansk,RU,66.77,123.37,-13.67,88,69,15.93,broken clouds
93,Beringovskiy,RU,63.05,179.32,33.33,96,100,37.83,overcast clouds
94,Pisco,PE,-13.7,-76.22,66.0,82,75,3.36,broken clouds
95,Katsuura,JP,35.13,140.3,55.4,58,75,13.87,broken clouds
96,Suez,EG,29.97,32.53,75.88,42,23,4.76,few clouds
97,Klaksvik,FO,62.23,-6.59,50.0,100,80,10.29,broken clouds
98,Jamestown,US,42.1,-79.24,55.4,62,1,6.93,clear sky
99,Gohana,IN,29.13,76.7,69.31,22,0,1.99,clear sky
100,Krasnoselkup,RU,65.7,82.47,8.06,95,95,9.6,overcast clouds
101,Georgetown,MY,5.41,100.34,80.6,88,20,2.64,few clouds
102,Carnarvon,AU,-24.87,113.63,68.0,72,90,20.8,overcast clouds
103,Severo-Kurilsk,RU,50.68,156.12,36.01,93,100,19.69,overcast clouds
104,Bitam,GA,2.08,11.5,82.63,59,92,1.32,light rain
105,Diamantina,BR,-18.25,-43.6,80.22,50,38,5.35,scattered clouds
106,Sorland,NO,67.67,12.69,41.0,56,75,11.41,broken clouds
107,Buchanan,LR,5.88,-10.05,82.9,72,77,7.25,light rain
